nama_barang,merk,stok_barang,harga_lama,harga_baru,discount_percent,description,rating_penjualan,total_terjual,total_pemasukan,tanggal_pembelian
FOL FL 2108 2.1CH Speaker System 20W   Black,FOL,96,Rp32.000,Rp2.595,19%,"

",0 out of 5,0,Rp0,5 November 2019
"TCL 24D3100   24"" HD Digital LED TV   Black",TCL,49,Rp150.000,Rp9.495,37%,"

",4.7 out of 5,6,Rp900.000,28 Juli 2018
"Vision Plus VP8843C   43""   FHD Android TV Black + FREE Wall Mount",Vision Plus,25,Rp349.490,Rp29.999,14%,,4.2 out of 5,518,Rp181.035.820,2 Februari 2018
"CTC 25FR24CT2 24"" Digital HD LED TV   Black",CTC,59,Rp115.000,Rp7.295,37%,,0 out of 5,0,Rp0,4 Desember 2018
Glaze 40” HD LED Digital TV   Black,Glaze,30,Rp245.000,Rp17.995,27%,"

",0 out of 5,0,Rp0,29 September 2019
BOSNDA BOBD03 Portable Bluetooth Speaker Black,BOSNDA,100,Rp48.020,Rp269,44%,Portable Wireless Bluetooth V5.0 Stereo Speaker with Rope Built in MIC Support Hands Free Calls & TF Card & AUX in & FM 10m Bluetooth Distance (Black),3.7 out of 5,13,Rp624.260,11 September 2019
"UKA 50""   UHD Smart TV   Black",UKA,12,Rp470.000,Rp32.699,30%,"UKA 50"" UHD Smart TV features sharply and vividly conveys the colour of the image making it true to life as you view it. It carries a powerful multi surround sound effect the increases the excitement and takes your normal sports watching a pleasurable experience. TV comes with Smart features like a dedicated web browser and popular apps like YouTube and a range of movie on demands services. Playback your stored content directly on the big screen for all to enjoy via a USB device or use it to record TV programmes and even pause live TV. Place your order for this amazing product from Jumia Kenya and have it delivered to your doorstep at an amazing price.",4 out of 5,268,Rp125.960.000,25 Januari 2019
Polysonic MP 3315 Multimedia Speaker System 3.1CH   Black,Polysonic,36,Rp64.990,Rp4.999,23%,,4.4 out of 5,14,Rp909.860,26 September 2018
Clubox 2100 2.1CH Speaker System 60W   Black & White,Clubox,36,Rp54.200,Rp3.985,26%,"

",0 out of 5,0,Rp0,31 Juli 2018
Royal Sound RS205BT 2.1CH Speaker System 20W   Black,Royal Sound,53,Rp35.990,Rp2.925,19%,Listen to your music collection in style with this Royal Sound Multimedia Speaker System. This sound system is designed for the extreme entertainment lovers to enjoy their amazing music and movies with sound clarity never heard before you will love your movie soundtrack playing on this Multimedia Speaker System. Place your order for this,0 out of 5,0,Rp0,11 Februari 2019
Shark 22FC22ST2  22'' LED TV   Black,Shark,28,Rp97.000,Rp6.795,30%,Revolutionize your entertainment with the new,3.3 out of 5,11,Rp1.067.000,1 Januari 2019
Mi Tech 43'' MT43A06S Smart Android FHD With Dolby Audio TV   Black.,Mi Tech,95,Rp340.000,Rp24.195,29%,Experience a whole new level of entertainment with the MI TECH 43 Inch FHD TV. Watch your films and music come to life with our new exquisite design. The cutting edge 43 inch display enables you to watch content in full high definition and the integrated speakers allow you to hear every little detail in whatever you choose to watch or listen to. Enjoy simple and intuitive TV the way it was intended buy the MI TECH,4.2 out of 5,5,Rp1.700.000,9 Agustus 2019
Sony MDR ZX110AP   Extra Bass Headphones   White,Sony,44,Rp23.000,Rp1.999,13%,With its twin 1.18 in drivers and Bass Booster these headphones deliver big sound without breaking a sweat. Plus the in line remote with mic lets you take control of your Smartphone’s music and calls. ,4.2 out of 5,76,Rp1.748.000,14 September 2018
Glaze 32” HD LED Smart TV   Black,Glaze,56,Rp193.000,Rp13.985,28%,"

",0 out of 5,0,Rp0,19 Desember 2018
"MEC 39"" HD LED Digital TV   Black.",MEC,96,Rp250.000,Rp16.945,32%,"

",0 out of 5,0,Rp0,14 Juli 2018
Generic Wireless Bluetooth Speaker Alarm Clock FM Radio,Generic,54,Rp28.350,Rp1.449,49%, ,4 out of 5,11,Rp311.850,31 Juli 2019
Rk Trust 6 Way Extension Cable   White,Rk Trust,41,Rp8.000.000,Rp437,45%,This extension is,4.2 out of 5,48,Rp384.000.000,6 November 2018
Generic Mini LED Bluetooth Wireless Speaker   Pink Get Two Free Earphones,Generic,40,,Rp499,,​,3.3 out of 5,104,Rp0,22 Mei 2019
"UKA 32""   HD Smart TV   Black",UKA,75,Rp200.000,Rp13.999,30%,"​UKA 32"" HD Smart TV features sharply and vividly conveys the colour of the image making it true to life as you view it. It carries a powerful multi surround sound effect the increases the excitement and takes your normal sports watching a pleasurable experience. TV comes with Smart features like a dedicated web browser and popular apps like YouTube and a range of movie on demands services. Playback your stored content directly on the big screen for all to enjoy via a USB device or use it to record TV programmes and even pause live TV. Place your order for this amazing product from Jumia Kenya and have it delivered to your doorstep at an amazing price",4 out of 5,803,Rp160.600.000,22 Juli 2019
Ampex 3.1 12000W MULTIMEDIA SUBWOOFER SPEAKER(bluetoothUSBSD cardFmDVD),Ampex,50,Rp99.990,Rp7,30%,to be your all in one home entertainment,3.9 out of 5,32,Rp3.199.680,7 Januari 2019
Gotv Decoder + 1 Months Gotv Max Subscription   Black,Gotv,76,Rp19.990,Rp1.769,12%,Why just watch TV when you and your family can experience every picture perfect moment in crystal clear HD? The,4.6 out of 5,36,Rp719.640,18 Februari 2019
POWERSKY Tv Guard +  Wall Mounting Bracket for 14   42 TV  plus free 32GB FLASH DISK,POWERSKY,68,Rp39.300,Rp1.965,50%,,3.8 out of 5,135,Rp5.305.500,3 November 2018
Annov 3M HDMI Cable   BlackGet Two Pairs Free Earphones,Annov,47,Rp6.990.000,Rp399,43%,"

",4.3 out of 5,116,Rp810.840.000,28 Januari 2018
Generic TV Guard + A FREE Fridge Guard,Generic,10,Rp15.000,Rp1.124,25%,,4.1 out of 5,225,Rp3.375.000,22 November 2019
Generic TV Guard + Free Fridge Guard And 2 Way Cable,Generic,90,Rp20.000,Rp1.304,35%,,4.1 out of 5,37,Rp740.000,6 Januari 2018
Phelistar Digital TV Aerial   Multicolor,Phelistar,29,Rp12.000,Rp799,33%,Digital receiver antenna This antenna is UHF AND VHF signal receive that help your decoder or your digital TV ,4.2 out of 5,162,Rp1.944.000,9 Juni 2018
Astra 4 Way  Extension Cable   White,Astra,69,Rp10.000,Rp320,68%,This 4 Way Socket Extension Cable is the ideal plug for all your electronics devices‎‎. Comes with a 6 Ft cablemaking it long enough for homeoffice or school.‎‎‎Made of heat resistant hard ABS plastic making withstand overheating.Order this 4 Way Socket Extension Cable today from,3.7 out of 5,28,Rp280.000,17 September 2019
"Syinix 32S610 32"" LED Digital TV   Black",Syinix,89,Rp155.000,Rp1.299,16%,Get an incredible Syinix Digital TV available on Jumia Kenya! Syinix is a Japan based professional home appliance brand. Since its foundation it adheres to its ultimate goal of letting people’s life smarter and more easily. With the Japanese design style and always making it better Syinix continuously pursues innovative functional design and a more exquisite detail of its products. Its finish design is embedded with understated and simple lines thus it can help its customers restore a cozy family atmosphere. Order for this Syinix  ,3.9 out of 5,14,Rp2.170.000,9 Mei 2019
Royal Sound SubwooferHitech MultiMedia SpeakerSystem FM USBWireless BluetoothUSBFM 10000 watts,Royal Sound,29,Rp80.000,Rp445,44%,The,3.3 out of 5,6,Rp480.000,25 Maret 2019
Gotv Decoder+Outdoor Gotenna +1 M Gotv Max Subscription,Gotv,70,Rp29.990,Rp2.618,13%,Why just watch TV when you and your family can experience every picture perfect moment in crystal clear HD? The,4.4 out of 5,26,Rp779.740,18 Februari 2018
Pangpai P15 Bluetooth Headset  Free OTG cable + Earphones,Pangpai,31,Rp13.990,Rp899,36%,With its,4.3 out of 5,34,Rp475.660,1 Juni 2018
Generic Fridge Guard  With Free Tv Guard Mk   White,Generic,52,Rp16.000,Rp121,24%,,4.2 out of 5,105,Rp1.680.000,15 Mei 2019
"Vision Plus VP8832S 32"" Frame less Smart Android LED TV   Black",Vision Plus,33,,Rp14.999,,100 240 50/60 Hz,4.5 out of 5,40,Rp0,4 Januari 2019
TAGWOOD LS 421B Multimedia Speaker System 2.1,TAGWOOD,76,Rp29.990,Rp1.999,33%,,4.2 out of 5,39,Rp1.169.610,25 Oktober 2018
Miniso Foldable Headphones (Green+Black),Miniso,37,,Rp1.519,,,5 out of 5,1,Rp0,10 Desember 2018
Rk Trust Extension Cable   6 Way   White.,Rk Trust,27,Rp8.000.000,Rp455,43%,,4.2 out of 5,239,Rp1.912.000.000,6 Juni 2018
Generic OR 1080P Anti shake LED Light Digital Camera Video Record Professional red,Generic,22,Rp58.090,Rp293,50%,1.Able to shoot 1080P HD video  its resolution is 2.5 times the general definition  providing better picture resolution and color information.,0 out of 5,0,Rp0,28 Desember 2019
"Generic Camera Tripod Stand Holder Mount Bracket 1/4"" Thread for Phone Tablet 7 10.1""",Generic,73,Rp31.360,Rp1.568,50%,,4 out of 5,5,Rp156.800,25 Januari 2019
Sony DSC H300 Cyber Shot Compact Camera,Sony,50,Rp319.950,Rp24.495,23%," 



 



 Every picture a revelation",5 out of 5,1,Rp319.950,19 Maret 2018
Syinix 55″ 4K ULTRA HD SMART ANDROID TV APP STORE FOOTBALL MODE 55T730U – Black,Syinix,79,Rp1.000.000,Rp5.449,46%,,0 out of 5,0,Rp0,1 Oktober 2018
Generic Electric Computer Blower   Red,Generic,47,Rp25.000,Rp1.985,21%,Portable electric blower features a 220 volt higher power motor. ,4 out of 5,1,Rp25.000,16 Januari 2018
Sonar Free To Air Digital Decorder + Free HP v250w 32GB Flash Disk,Sonar,76,Rp40.000,Rp1.998,50%,Have you been switched off? It's time to bounce back with the Sonar Free ToAir Digital Set Box Decoder. With this decoder you don't have the hassles of monthly subscription. You also get a variety of local channels free for life. Its full HD so you get clear images at the comfort of your home. works anywhere within Kenya.  The decorder comes with a free 32GB HP Flash Disk to enjoy music and movies ,4.1 out of 5,13,Rp520.000,20 Februari 2018
Nobel 43” FULL HD ANDROID TV NETFLIX YOUTUBE E SHARE NB43FHD,Nobel,48,Rp420.000,Rp30,29%,Enjoy the luxury of a cinematic experience in the comfort of your home. With the NOBEL 43” FULL HD ANDROID TV NETFLIX YOUTUBE GOOGLE PLAY STORE IN BUILT WI FI,0 out of 5,0,Rp0,29 Mei 2018
Generic Generic Digital Optical Coaxial To RCA Converter,Generic,24,Rp29.000,Rp1.899,35%,,0 out of 5,0,Rp0,5 Mei 2019
Sony DAV TZ140    300W    5.1Ch   DVD Home Theater   Black,Sony,24,Rp209.990,Rp1.689,20%,,3.9 out of 5,106,Rp22.258.940,26 Desember 2019
Sony HDMI Cable 2 Metres   White,Sony,32,Rp7.640.000,Rp681,11%,"

",4.6 out of 5,5,Rp38.200.000,16 Desember 2019
Ampex  Multi Media Sub woofer Speaker System Bluetooth\FM Radio\USB    10000W PMPO,Ampex,68,Rp150.000,Rp55,63%,,0 out of 5,0,Rp0,6 November 2018
Hikvision HD  Dome Camera  1080P,Hikvision,12,Rp38.000,Rp2.499,34%,,4 out of 5,1,Rp38.000,11 April 2019
Generic TV Stand / Shelf   Brown,Generic,33,,Rp234,,The Unique Collection's Wooden TV Stand / Shelf is a stylish modern yet classy design that will complement the furniture in your living room. Use it as a TV stand or side shelf to place your flower vase or other home decor. This TV stand/shelf is dismantable and easy to fix so you can easily carry it whenever you move. A very great and versatile furniture to have in your home. ,3.9 out of 5,7,Rp0,4 September 2019
R8 Bluetooth Soundbar for TV PC Cellphone black,R8,44,Rp45.000,Rp2.399,47%,,0 out of 5,0,Rp0,9 Juli 2018
Pace Power Box sport Bluetooth Speaker + Power Bank Rechargeable,Pace,48,Rp58.000,Rp4.495,22%, Video add:   http://t.cn/AiTFcqSU,3.3 out of 5,3,Rp174.000,27 Desember 2018
"Sonar TH LD 32T81   32""  Digital LED TV    Black.",Sonar,29,Rp159.990,Rp11.299,29%,Stunning picture quality meets sleekly modern design with this SONAR,5 out of 5,1,Rp159.990,14 Januari 2019
Sony Dvd Player DVP NS628P+ Free Extension Cable,Sony,62,Rp75.000,Rp3.999,47%,,3.8 out of 5,4,Rp300.000,31 Maret 2019
Boas Universal TV Remote Control Wireless Smart Controller Replacement for Samsung HDTV LED Smart Digital TV Black,Boas,87,Rp8.240.000,Rp634,23%,This is an innovative remote controller for Samsung smart TV. Its slim and sleek design makes it comfortable in the palm when being used.,0 out of 5,0,Rp0,25 Oktober 2018
Generic TV Stand / Shelf   Brown,Generic,13,,Rp305,,The Unique Collection's Wooden TV Stand / Shelf is a stylish modern yet classy design that will complement the furniture in your living room. Use it as a TV stand or side shelf to place your flower vase or other home decor. This TV stand/shelf is dismantable and easy to fix so you can easily carry it whenever you move. A very great and versatile furniture to have in your home. ,4.5 out of 5,17,Rp0,20 September 2018
Generic MXQ PRO 1080P 4K HD Smart TV BOX with Remote Controller Android 5.1 S905 Quad Core Cortex A53 2GHz RAM: 1GB ROM: 8GB Support WiFi,Generic,27,Rp47.130,Rp3.299,30%,1. CPU: S905 Quad Core Cortex A53 2GHz,0 out of 5,0,Rp0,7 Juli 2018
Sonar Free To Air Digital Decorder   Plus Free 16GB Flash Disk,Sonar,70,Rp40.000,Rp1.999,50%,Have,5 out of 5,2,Rp80.000,30 Mei 2019
"Hisense 49B6000PW   49""   Smart Digital Full HD Digital LED TV   Black   2019 model",Hisense,99,Rp460.000,Rp41.499,10%,,4.6 out of 5,7,Rp3.220.000,18 Agustus 2019
Generic BTE5 Car MP3 Player BT FM Transmitter Car FM Modulator Dual,Generic,77,Rp9.050.000,Rp633,30%,Smartphones could be connected to the device through BT.,0 out of 5,0,Rp0,8 Februari 2019
Generic OR Computer Cable USB 2.0 HDMI Male To Female Adapter Power Supply Connector black,Generic,72,Rp5.300.000,Rp290,45%,Features:,4 out of 5,1,Rp5.300.000,13 April 2018
"TCL 65P65US  65"" UHD 4K Smart digital LED TV   Android   Black 2019 model",TCL,11,,Rp130,,,0 out of 5,0,Rp0,2 Oktober 2019
M Luck BLACK Bluetooth Woofer with USBSD card and AUX Functions,M Luck,21,Rp46.990,Rp3.599,23%,,3.5 out of 5,4,Rp187.960,24 Desember 2018
Generic Bluetooth marvin,Generic,70,Rp10.000,Rp799,20%,Sunlar Solar is a leading solution provider in the field of renewable energy throughout Kenya. Our experience spans over many years and our systems power simple lighting units in remote. Sunlar Solar has been involved in spearheading research in the development of low cost Photovoltaic lighting systems and Clean energy products. Order ,0 out of 5,0,Rp0,20 Februari 2018
Ampex Ax P36/ 10000W SUBWOOFER MULTIMEDIA SPEAKER,Ampex,36,,Rp3.699,,,4.3 out of 5,3,Rp0,10 Maret 2018
Generic Bluetooth Wireless SpeakerGet Two Free Earphones,Generic,90,Rp13.990,Rp499,64%,,5 out of 5,1,Rp13.990,27 Juli 2018
Joc Fm Radio Digital FM Radio And Mp3 Music Player,Joc Fm Radio,62,Rp20.000,Rp698,65%,Are you looking for a portable digital World radio receiver which is  priced competitively? Then look no further than digital selects music player/f m radio. This f m radio engineered with the cutting edge I C design boasts of clear signal reception and advanced function.,0 out of 5,0,Rp0,7 Oktober 2019
Ampex AX602MS  2.1CH  SOUND SYSTEM WOOFER  10000W,Ampex,12,,Rp4.499,,,0 out of 5,0,Rp0,16 Agustus 2018
Generic Chromecast 2 HDMI Mirror TV Stick RK3036 Dual Core 1080P H.265 Anycast Miracast Dongle DLNA Airplay WiFi Display IOS10 YouTube 100%  Q1 Mirroring Dongle Wireless HDMI/AV Dongle TV Stick 1080P HD TV Dongle Wifi Display Dongle Plug & Play,Generic,48,Rp23.100,Rp1.702,26%,   His digital video audio HDMI cable is suitable for HDMI to HDMI connection suitable for HDTV home theater DVD player projector PS3 xbox360 and other devices. Gold plated connectors are corrosion resistant to ensure optimal connection and maximum signal transmission. It is made of pure anaerobic copper conductor with the highest conductivity and reliability. Compatible with a variety of audio formats from stereo to multi channel sound. Transmit digital audio and video signals at a warp speed of 10.2 g/s or more!This is UGREEN high speed HDMI cable with ethernet support 1080P full HD resolution for 3D televisionHD 4000*2000 televisionApple TVXbox 360Xbox and more HDMI devices. ,2.5 out of 5,2,Rp46.200,30 November 2019
"VisualApex Electric 120"" x 120"" projection screen",VisualApex,80,Rp500.000,Rp39.999,20%,The  VisualApex is the ultimate electric projection screen and comes equipped with premium features including a tab tension system fast tubular motor remote control package and elegant aluminum housing. Finding the perfect screen material for your application smooth running electric motor scroll up and down with its in line switch. The scratch resistant steel white case will protect the screen when its not in use as well as blend into any décor. Once the screen is pulled down enjoy the screen's matte white viewing surface which diffuses projected light uniformly over the screen  creating ideal viewing from any angle. Black masking borders around the sides of the screen increase picture focus and contrast. The HDTV (widescreen) versions include a black masking border above the image for a crisp clean look. is the ultimate electric projection screen.,4 out of 5,1,Rp500.000,12 Juli 2018
Vitron V4 Digital DVD Player + Free Heavy Duty Extension Cable,Vitron,77,,Rp2.642,,,4.2 out of 5,6,Rp0,11 April 2018
Sony 1000W DVD HOME THEATRE SYSTEM 5.1CH BLU RAY 3D FULL HD WI FI CONNECTIVITY BLUETOOTH BDV E4100 – Black,Sony,16,Rp610.000,Rp525,14%,,4.3 out of 5,4,Rp2.440.000,19 Juni 2018
Sheginel LED Selfie Ring Light  white,Sheginel,94,Rp10.000,Rp650,35%,Item: selfie ring light,0 out of 5,0,Rp0,19 Maret 2018
Sony 1000W DVD HOMETHEATRE 3D BLU RAY WIFI BDV E3100,Sony,35,Rp450.000,Rp395,12%,"

",0 out of 5,0,Rp0,12 September 2018
Amtec AM 009 3.1CH Hi Fi System 200W   Red & Black,Amtec,63,Rp104.990,Rp9.645,8%,,0 out of 5,0,Rp0,9 Agustus 2019
"Bruhm BTF   32HDTSP 32"" LED SMART & Digital TV   Black",Bruhm,77,Rp209.900,Rp169,19%,,4.1 out of 5,62,Rp13.013.800,16 September 2019
Generic SO 2  Black Wireless Bluetooth Speaker  With Fm,Generic,58,Rp9.990.000,Rp899,10%,                                                                         1.Large capacity power supply:  charging through USB port supporting up to 3 4 hours of playback time.2.Easy to carry: product size is only 54mm * 90mm * 115mm easy to carry.3.Light weight： product weight 300g light and practical.4.FM function: the product has FM function.5.Double loudspeakers Shock sound effect：Pleasant to move ears more convenient to ride outdoors. Double 45mm double external passive radiators are used to show the internal power of loudspeakers and witness the bass powerful sound effect release your surging power.6.Wireless Bluetooth: faster transmission and more stable connection.7.Waterproof and dustproof design: No matter in rainy days music can accompany you.,3.8 out of 5,34,Rp339.660.000,23 Oktober 2018
Generic Digital TV Aerial With 10mtrs Cable Plus Free Cable Clips,Generic,49,Rp14.000,Rp798,43%, This antenna is ,4.1 out of 5,74,Rp1.036.000,6 Oktober 2019
"Samsung UA40N5300   40"" FULL HD Flat Smart LED TV   SERIES 5",Samsung,38,Rp475.990,Rp3.299,31%,,4.5 out of 5,28,Rp13.327.720,24 September 2019
"Vision Plus VP8832S 32""   HD Android Smart TV + Free Wall Mount   Black",Vision Plus,91,,Rp14.999,,,4.3 out of 5,1.005,Rp0,12 Juli 2019
SmartView LE32P33DO; 32'' Digital; HD; LED TV; Black.,SmartView,50,Rp194.990,Rp11.189,43%,,3.9 out of 5,25,Rp4.874.750,26 Juli 2019
Clubox IC 1303  3.1 X Base HI FI Bluetooth Speaker Black,Clubox,50,,Rp5.499,,Listen to your music collection in style with this CLUBOX Multimedia Speaker System. This sound system is designed for the extreme entertainment lovers to enjoy their amazing music and movies with sound clarity never heard before you will love your movie soundtrack playing on this Multimedia Speaker System. Compact  3.1CH Multimedia Speaker  deliver excellent sound quality yet fit easily on a desk booelf or TV cabinet. The subwoofer pumps out deep bass that’s easy to adjust to your liking. Whether you want better fuller sound for your PC or the music on your smartphone this stereo speaker system makes great audio plug and play easy. Place your order for this,4 out of 5,32,Rp0,9 Maret 2019
"Skyworth 32TB7000 32"" Frameless Smart Android LED TV   Black",Skyworth,87,Rp164.990,Rp15.999,3%,"​Breathe life into your living room with this ultra slim SKY WORTH 32"" Digital Android Smart TV 32TB7000 that will blow you away with stunning and much clearer video and audio home entertainment‎.‎ It‎'‎s narrow bezel design gives this TV a striking display that will add to your home a modern and stylish look‎.‎ Enjoy crystal clear visuals in depth thanks to the super clear high‎ resolution capabilities‎. Order for this Skyworth 32TB7000 32” Smart Android TV online from Jumia and have it delivered to your doorstep.",4.5 out of 5,142,Rp23.428.580,14 Januari 2018
Annov LED Mini Portable Bluetooth Speaker+Surgical Mask,Annov,32,Rp4.990.000,Rp399,20%,    ,0 out of 5,0,Rp0,30 Desember 2019
Generic Mini LED Bluetooth Wireless Speaker +Surgical Mask,Generic,95,Rp5.990.000,Rp399,33%,,0 out of 5,0,Rp0,17 Juni 2019
Haier 32'' Digital LED TV LE32   Black,Haier,51,Rp169.990,Rp11.499,32%,Technical Specifications,4.2 out of 5,88,Rp14.959.120,26 Desember 2018
"Generic Wall Bracket for 14"" to 42"" TV   Black",Generic,100,Rp7.560.000,Rp378,50%,The Arm Size: 23.0 * 1.8 * 1.6cm / 9.0 * 0.7 * 0.62in ,4.2 out of 5,155,Rp1.171.800.000,5 Juni 2018
"EEFA 32LN4100D   32""   HD LED Digital TV   Black",EEFA,80,Rp129.990,Rp11.599,11%,,4.4 out of 5,155,Rp20.148.450,31 Desember 2019
Clubox IC 5201 Speaker System 60W   Black,Clubox,86,Rp46.500,Rp3.595,23%,"

",0 out of 5,0,Rp0,3 Maret 2019
JTC J608+ 2.1CH Hi Fi System 70W   Black,JTC,37,Rp79.990,Rp5.695,29%,,5 out of 5,1,Rp79.990,4 Mei 2018
Clubox FS 903 Speaker System 120W   Black,Clubox,82,Rp90.000,Rp6.595,27%,Ice Cool is a re known manufacturer of Home Electronics and Appliances.‎‎ Their products are affordable‎‎‎‎ innovative and durable.‎‎ For every household and kitchen need‎‎‎‎ you can trust Ice Cool to have an electronic product and appliance that will make every task simple and fun. What's more? Ice Cool appliances and electronics always turn your house into a real home. deeper sound experience to YouTube videos streaming movies your favorite music and games. Compact  3.1CH Multimedia Speaker  deliver excellent sound quality yet fit easily on a desk booelf or TV cabinet. The subwoofer pumps out deep bass that’s easy to adjust to your liking. Whether you want better fuller sound for your PC or the music on your smartphone this soundbar speaker system makes great audio plug and play easy. Place your order for this ,0 out of 5,0,Rp0,11 Oktober 2019
"MCTV 4310 43"" HD LED Smart TV   Black.",MCTV,62,Rp342.000,Rp25.395,26%,Revolutionize your entertainment with the new,0 out of 5,0,Rp0,30 November 2019
JTC J801 2.1CH Hi Fi System 80W   White,JTC,78,Rp99.990,Rp7.795,22%,This sound system is designed for the extreme entertainment lovers to enjoy their amazing music and movies with sound clarity never heard before you will love your movie soundtrack playing on this Multimedia Speaker System.,5 out of 5,1,Rp99.990,31 Juli 2019
Generic High Quality 6 Way Extension+ Free 2 Way Extension,Generic,88,Rp10.000,Rp594,41%,The,4.1 out of 5,67,Rp670.000,27 September 2018
Royal Sound RS103BT 2.1CH Speaker System 20W   Black & Red,Royal Sound,58,Rp35.990,Rp2.915,19%,Listen to your music collection in style with this Royal Sound Multimedia Speaker System. This sound system is designed for the extreme entertainment lovers to enjoy their amazing music and movies with sound clarity never heard before you will love your movie soundtrack playing on this Multimedia Speaker System. Place your order for this,0 out of 5,0,Rp0,27 Juni 2019
"CTC AP 32 32"" Digital HD LED TV   Black",CTC,64,Rp155.000,Rp11.255,27%,,0 out of 5,0,Rp0,4 Oktober 2019
"CTC 22FR22CT2 22"" Digital HD LED TV   Black",CTC,47,Rp103.000,Rp6.795,34%,,0 out of 5,0,Rp0,18 Juni 2018
