nama_barang,merk,stok_barang,harga_lama,harga_baru,discount_percent,description,rating_penjualan,total_terjual,total_pemasukan,tanggal_pembelian
"UKA 50""   UHD Smart TV   Black",UKA,67,Rp470.000,Rp32.699,30%,"UKA 50"" UHD Smart TV features sharply and vividly conveys the colour of the image making it true to life as you view it. It carries a powerful multi surround sound effect the increases the excitement and takes your normal sports watching a pleasurable experience. TV comes with Smart features like a dedicated web browser and popular apps like YouTube and a range of movie on demands services. Playback your stored content directly on the big screen for all to enjoy via a USB device or use it to record TV programmes and even pause live TV. Place your order for this amazing product from Jumia Kenya and have it delivered to your doorstep at an amazing price.",4 out of 5,268,Rp125.960.000,2018-11-22
Generic Wall Mount Bracket 14  inches to 42 inches Strong Fixed,Generic,27,Rp8.000.000,Rp497,0.38,Mount Your Tv on the wall with this,4.3 out of 5,242,Rp1.936.000.000,2019-7-14
Generic Wall Mount Bracket 14  inches to 42 inches Strong Fixed,Generic,91,Rp8.000.000,Rp497,0.38,Mount Your Tv on the wall with this,4.3 out of 5,242,Rp1.936.000.000,2018-3-12
Rk Trust Extension Cable   6 Way   White.,Rk Trust,83,Rp8.000.000,Rp455,43%,,4.2 out of 5,239,Rp1.912.000.000,2018-3-18
Generic TV Guard + A FREE Fridge Guard,Generic,52,Rp15.000,Rp1.124,25%,,4.1 out of 5,225,Rp3.375.000,2019-5-18
P47 Bluetooth 4.2 Headphone Wireless Earphone Hands Free Music Headset Blue,P47,86,Rp19.990,Rp898,0.55,1.Bluetooth connection: Wireless connection frees you from twisted or kinked cable. Up to 10 meters operation range no need to worry about the disconnection while you are on a move. 2.Music card support: This headset is like a MP3 player. You can insert the music card in the headset and listen to all the music you want. 3.Audio cable applicable: If the headset runs out of power or you have to connect it to a device with no Bluetooth connection you can connect them with a 3.5 mm audio cable. This is a very convenient and thoughtful design. 4. High quality: Built in high quality audio coded giving you excellent voice experience Ergonomic design make this headsets comfortable for long time wearing. Foldable design makes it easy to carry with. 5. Multifunctional: This headphone has more functions than you can imagine like Radio Function with a built in radio antenna and a radio set this headset is like a radio.,4.1 out of 5,225,Rp4.497.750,2019-5-28
P47 Bluetooth 4.2 Headphone Wireless Earphone Hands Free Music Headset Blue,P47,31,Rp19.990,Rp898,0.55,1.Bluetooth connection: Wireless connection frees you from twisted or kinked cable. Up to 10 meters operation range no need to worry about the disconnection while you are on a move. 2.Music card support: This headset is like a MP3 player. You can insert the music card in the headset and listen to all the music you want. 3.Audio cable applicable: If the headset runs out of power or you have to connect it to a device with no Bluetooth connection you can connect them with a 3.5 mm audio cable. This is a very convenient and thoughtful design. 4. High quality: Built in high quality audio coded giving you excellent voice experience Ergonomic design make this headsets comfortable for long time wearing. Foldable design makes it easy to carry with. 5. Multifunctional: This headphone has more functions than you can imagine like Radio Function with a built in radio antenna and a radio set this headset is like a radio.,4.1 out of 5,225,Rp4.497.750,2018-4-23
Vitron V036    2.1CH Bluetooth Multimedia Speaker System   Black,Vitron,79,Rp52.990,Rp3.498,0.34,"Vitron V036 2.1CH Multimedia Speaker System – Black with FM Radio Built in amplifier SD Card Slot and USB device playback. Vitron V036 is a brand from Vitron with High tech media. It brings 
your living room to life with this stylish sub woofer from Vitron.  This 
sound system is designed for the extreme entertainment lovers to enjoy 
their amazing music and movies with sound clarity never heard 
before. Place your order for this amazing sound system ",4.1 out of 5,220,Rp11.657.800,2019-11-18
Vitron V036    2.1CH Bluetooth Multimedia Speaker System   Black,Vitron,78,Rp52.990,Rp3.498,0.34,"Vitron V036 2.1CH Multimedia Speaker System – Black with FM Radio Built in amplifier SD Card Slot and USB device playback. Vitron V036 is a brand from Vitron with High tech media. It brings 
your living room to life with this stylish sub woofer from Vitron.  This 
sound system is designed for the extreme entertainment lovers to enjoy 
their amazing music and movies with sound clarity never heard 
before. Place your order for this amazing sound system ",4.1 out of 5,220,Rp11.657.800,2019-11-12
UKA 43''   Full HD   Digital TV   Black,UKA,97,Rp320.000,Rp22.499,30%,UKA TV features sharply and vividly conveys the colour of the image making it true to life as you view it. It carries a powerful multi surround sound effect the increases the excitement and takes your normal sports watching a pleasurable experience. Place your order for this amazing product from Jumia Kenya and have it delivered to your doorstep at an amazing price,4.3 out of 5,181,Rp57.920.000,2018-4-19
MK Electronics TV Guard +Fridge Guard + 2 Way Extension Cable,MK Electronics,10,Rp20.000,Rp1.295,0.35,Buy TV Guard Voltage Protector plus fridge guard with free 2 way extension cable and protect your,4.1 out of 5,166,Rp3.320.000,2019-2-25
MK Electronics TV Guard +Fridge Guard + 2 Way Extension Cable,MK Electronics,87,Rp20.000,Rp1.295,0.35,Buy TV Guard Voltage Protector plus fridge guard with free 2 way extension cable and protect your,4.1 out of 5,166,Rp3.320.000,2018-4-29
Phelistar Digital TV Aerial   Multicolor,Phelistar,82,Rp12.000,Rp799,33%,Digital receiver antenna This antenna is UHF AND VHF signal receive that help your decoder or your digital TV ,4.2 out of 5,162,Rp1.944.000,2019-7-1
"Generic Wall Bracket for 14"" to 42"" TV   Black",Generic,99,Rp7.560.000,Rp378,50%,The Arm Size: 23.0 * 1.8 * 1.6cm / 9.0 * 0.7 * 0.62in ,4.2 out of 5,155,Rp1.171.800.000,2019-3-2
"EEFA 32LN4100D   32""   HD LED Digital TV   Black",EEFA,22,Rp129.990,Rp11.599,11%,,4.4 out of 5,155,Rp20.148.450,2018-3-11
Vitron V008 2.1CH Multimedia Speaker System   Black,Vitron,42,Rp49.990,Rp3.498,0.3,V008 2.1CH Multimedia Speaker System   Black with FM Radio Built in amplifier  SD Card Slot and USB device playback. Vitron V008 is a brand from Vitron with ,4 out of 5,144,Rp7.198.560,2019-9-2
Vitron V008 2.1CH Multimedia Speaker System   Black,Vitron,50,Rp49.990,Rp3.498,0.3,V008 2.1CH Multimedia Speaker System   Black with FM Radio Built in amplifier  SD Card Slot and USB device playback. Vitron V008 is a brand from Vitron with ,4 out of 5,144,Rp7.198.560,2018-4-26
"Skyworth 32TB7000 32"" Frameless Smart Android LED TV   Black",Skyworth,79,Rp164.990,Rp15.999,3%,"​Breathe life into your living room with this ultra slim SKY WORTH 32"" Digital Android Smart TV 32TB7000 that will blow you away with stunning and much clearer video and audio home entertainment‎.‎ It‎'‎s narrow bezel design gives this TV a striking display that will add to your home a modern and stylish look‎.‎ Enjoy crystal clear visuals in depth thanks to the super clear high‎ resolution capabilities‎. Order for this Skyworth 32TB7000 32” Smart Android TV online from Jumia and have it delivered to your doorstep.",4.5 out of 5,142,Rp23.428.580,2019-10-9
POWERSKY Tv Guard +  Wall Mounting Bracket for 14   42 TV  plus free 32GB FLASH DISK,POWERSKY,75,Rp39.300,Rp1.965,50%,,3.8 out of 5,135,Rp5.305.500,2019-8-12
POWERSKY Tv Guard +  Wall Mounting Bracket for 14   42 TV  plus free 32GB FLASH DISK,POWERSKY,75,Rp39.300,Rp1.965,0.5,,3.8 out of 5,135,Rp5.305.500,2019-10-14
POWERSKY Tv Guard +  Wall Mounting Bracket for 14   42 TV  plus free 32GB FLASH DISK,POWERSKY,32,Rp39.300,Rp1.965,0.5,,3.8 out of 5,135,Rp5.305.500,2018-7-29
"UKA 40"" FHD Smart LED TV   Black.",UKA,63,Rp310.000,Rp21.999,29%,"UKA 40"" FHD Smart LED TV​. Stunning picture quality meets sleekly modern design which brings you FHD entertainment at an incredible value. This  TV delivers amazing picture quality and clarity.  HDMI and USB ports are perfect for connecting all your high definition entertainment devices to the TV. Place your order for this amazing product from Jumia Kenya and have it delivered to your doorstep at an amazing price.",3.9 out of 5,129,Rp39.990.000,2018-3-3
Linier TV Guard Plus Free 32GB  v250w Flash Disk Drive With Clip ...,Linier,98,Rp15.000,Rp1.094,0.27,"Buy Linier TV Guard Voltage Protector and protect your LED/LCD TV and 
home entertainment system against all power fluctuations.It provides spike/surge protection and power back 
surge protection. It has microprocessor control. It provides lightning 
protection as well. Moreover this voltage protector protects LED/LCD TV
 up to 65inch and your home entertainment system. Order for this TV 
Guard Voltage Protector online from Jumia Kenya and have it delivered to
 you.TV Guard comes with a free 32GB Flash Disk",3.3 out of 5,129,Rp1.935.000,2018-6-1
Linier TV Guard Plus Free 32GB  v250w Flash Disk Drive With Clip ...,Linier,14,Rp15.000,Rp1.094,0.27,"Buy Linier TV Guard Voltage Protector and protect your LED/LCD TV and 
home entertainment system against all power fluctuations.It provides spike/surge protection and power back 
surge protection. It has microprocessor control. It provides lightning 
protection as well. Moreover this voltage protector protects LED/LCD TV
 up to 65inch and your home entertainment system. Order for this TV 
Guard Voltage Protector online from Jumia Kenya and have it delivered to
 you.TV Guard comes with a free 32GB Flash Disk",3.3 out of 5,129,Rp1.935.000,2018-9-23
Generic Aerial Antenna,Generic,73,Rp10.000,Rp694,0.31,This antenna is,4.1 out of 5,128,Rp1.280.000,2018-3-1
Generic Aerial Antenna,Generic,12,Rp10.000,Rp694,0.31,This antenna is,4.1 out of 5,128,Rp1.280.000,2018-12-23
VCOM VCOM DE160M High Quality Wired Mobile Headphones,VCOM,57,Rp15.000,Rp1.275,0.15,,4.1 out of 5,126,Rp1.890.000,2019-2-20
VCOM VCOM DE160M High Quality Wired Mobile Headphones,VCOM,69,Rp15.000,Rp1.275,0.15,,4.1 out of 5,126,Rp1.890.000,2019-4-19
Annov 3M HDMI Cable   BlackGet Two Pairs Free Earphones,Annov,91,Rp6.990.000,Rp399,43%,"

",4.3 out of 5,116,Rp810.840.000,2019-4-23
"Phelistar Aerial + 14"" 42"" TV wall bracket  + 4 way extension socket + 32Gb flash drive",Phelistar,37,Rp20.000,Rp1.799,0.1,This antenna is UHF AND VHF signal receive that help your decoder or your digital TV ,3.7 out of 5,115,Rp2.300.000,2018-3-31
"Phelistar Aerial + 14"" 42"" TV wall bracket  + 4 way extension socket + 32Gb flash drive",Phelistar,17,Rp20.000,Rp1.799,0.1,This antenna is UHF AND VHF signal receive that help your decoder or your digital TV ,3.7 out of 5,115,Rp2.300.000,2018-6-19
Generic GoTV Remote   Black,Generic,43,Rp3.600.000,Rp285,0.21,This remote control is compatible with GO TV  decoders and DSTV decoders. It operates all functions and commands.,4.4 out of 5,113,Rp406.800.000,2019-3-14
Generic GoTV Remote   Black,Generic,59,Rp3.600.000,Rp285,0.21,This remote control is compatible with GO TV  decoders and DSTV decoders. It operates all functions and commands.,4.4 out of 5,113,Rp406.800.000,2019-2-15
Generic TV Guard   White,Generic,73,Rp10.000,Rp635,0.36,Buy TV Guard Voltage Protector and protect your,3.8 out of 5,110,Rp1.100.000,2018-10-30
Generic TV Guard   White,Generic,56,Rp10.000,Rp635,0.36,Buy TV Guard Voltage Protector and protect your,3.8 out of 5,110,Rp1.100.000,2019-6-21
Generic Wireless Portable Speaker AUX   Black,Generic,62,Rp16.800,Rp1.249,26%, ,4.4 out of 5,109,Rp1.831.200,2018-3-7
Sony DAV TZ140    300W    5.1Ch   DVD Home Theater   Black,Sony,84,Rp209.990,Rp1.689,20%,,3.9 out of 5,106,Rp22.258.940,2018-8-28
Generic Fridge Guard  With Free Tv Guard Mk   White,Generic,15,Rp16.000,Rp121,24%,,4.2 out of 5,105,Rp1.680.000,2018-9-10
Generic Mini LED Bluetooth Wireless Speaker   Pink Get Two Free Earphones,Generic,43,,Rp499,,​,3.3 out of 5,104,Rp0,2018-10-15
"Generic 14   55"" Full Motion Swivel Wall Mount TV Bracket",Generic,85,Rp14.000,Rp1.397,0.01,"The 14   55"" Full Motion Swivel Wall Mount TV Bracket. Use this Bracket to safely mount your LED TV and get 60 degrees left and right movement and 20 degrees up and down movement. Order your 14   55"" Full Motion Swivel Wall Mount TV Bracket from Jumia.co.ke today and have it delivered to your doorstep.",4 out of 5,100,Rp1.400.000,2019-5-7
"Generic 14   55"" Full Motion Swivel Wall Mount TV Bracket",Generic,63,Rp14.000,Rp1.397,0.01,"The 14   55"" Full Motion Swivel Wall Mount TV Bracket. Use this Bracket to safely mount your LED TV and get 60 degrees left and right movement and 20 degrees up and down movement. Order your 14   55"" Full Motion Swivel Wall Mount TV Bracket from Jumia.co.ke today and have it delivered to your doorstep.",4 out of 5,100,Rp1.400.000,2018-8-28
"Sony 40R350E   40""  BRAVIA  Full HD  Digital TV   Black",Sony,36,Rp450.000,Rp31.599,0.3,Sony BRAVIA 40R350E Full HD LED Digital TV comes with a cleaner more refined picture Enjoy outstanding clarity sharpness and picture quality for everything you watch. The combination of noise reduction technologies sharpen and remove noise from every scene so the picture gleams with clear detail. Order for this Sony BRAVIA 40R350E  Full HD LED Digital TV online at Jumia Kenya and have it delivered right at your doorstep.,4.3 out of 5,93,Rp41.850.000,2019-10-22
"Sony 40R350E   40""  BRAVIA  Full HD  Digital TV   Black",Sony,94,Rp450.000,Rp31.599,0.3,Sony BRAVIA 40R350E Full HD LED Digital TV comes with a cleaner more refined picture Enjoy outstanding clarity sharpness and picture quality for everything you watch. The combination of noise reduction technologies sharpen and remove noise from every scene so the picture gleams with clear detail. Order for this Sony BRAVIA 40R350E  Full HD LED Digital TV online at Jumia Kenya and have it delivered right at your doorstep.,4.3 out of 5,93,Rp41.850.000,2018-8-1
Generic TV Stand   Black,Generic,55,Rp37.000,Rp2.769,0.25,Get this classic tv stand at Jumia only,4.3 out of 5,92,Rp3.404.000,2018-11-24
Generic TV Stand   Black,Generic,72,Rp37.000,Rp2.769,0.25,Get this classic tv stand at Jumia only,4.3 out of 5,92,Rp3.404.000,2018-5-16
UKA 40'' Full HD Digital TV   Black,UKA,22,Rp260.000,Rp18.399,29%,After Sales  Information,4.3 out of 5,90,Rp23.400.000,2018-12-31
TAGWOOD MP 55 Multimedia Speaker System with Bluetooth   Black.,TAGWOOD,26,Rp35.000,Rp2.999,0.14,,4.2 out of 5,89,Rp3.115.000,2018-11-22
TAGWOOD MP 55 Multimedia Speaker System with Bluetooth   Black.,TAGWOOD,90,Rp35.000,Rp2.999,0.14,,4.2 out of 5,89,Rp3.115.000,2019-4-29
Haier 32'' Digital LED TV LE32   Black,Haier,31,Rp169.990,Rp11.499,32%,Technical Specifications,4.2 out of 5,88,Rp14.959.120,2019-7-1
Generic High Quality 14''   42'' TV Wall Bracket   Black,Generic,27,Rp6.500.000,Rp399,39%,"

",4.6 out of 5,88,Rp572.000.000,2018-5-2
Panorama FULL HD Wifi /Nanny Camera Bulb   White,Panorama,86,Rp35.000,Rp2.302,0.34,Experience the future today with,3.9 out of 5,87,Rp3.045.000,2018-9-7
Panorama FULL HD Wifi /Nanny Camera Bulb   White,Panorama,84,Rp35.000,Rp2.302,0.34,Experience the future today with,3.9 out of 5,87,Rp3.045.000,2019-6-20
"Generic Wall Bracket for 14"" to 42"" TV   Black with free 32Gb flash",Generic,46,,Rp878,,,3.6 out of 5,83,Rp0,2019-7-4
"Generic Wall Bracket for 14"" to 42"" TV   Black with free 32Gb flash",Generic,53,,Rp878,,,3.6 out of 5,83,Rp0,2019-7-26
Amtec AM 001 2.1  Speaker System   Black,Amtec,38,Rp34.990,Rp2.565,27%,Listen to your music collection in style with this AMTEC AM 001 2.1 SURROUND SOUND SPEAKER SYSTEM. Multimedia Speaker System. This sound system is designed for the extreme entertainment lovers to enjoy their amazing music and movies with sound clarity never heard before you will love your movie soundtrack playing on this Multimedia Speaker System. Place your order for this,4.1 out of 5,80,Rp2.799.200,2019-9-7
Amtec AM 002 2.1CH Bluetooth Speaker System   Black,Amtec,65,Rp34.990,Rp2.815,20%,Listen to your music collection in style with this AMTEC AM 002 2.1 SURROUND SOUND SPEAKER SYSTEM. Multimedia Speaker System. This sound system is designed for the extreme entertainment lovers to enjoy their amazing music and movies with sound clarity never heard before you will love your movie soundtrack playing on this Multimedia Speaker System. Place your order for this,4.3 out of 5,80,Rp2.799.200,2018-8-14
Generic Mini Wireless Bluetooth In Ear Earbud Earphone Earpiece Hands free Headphone Headset Invisible Stereo Auriculares V4.1 S530,Generic,92,Rp8.980.000,Rp449,0.5,"





",3.5 out of 5,78,Rp700.440.000,2018-8-15
Generic Mini Wireless Bluetooth In Ear Earbud Earphone Earpiece Hands free Headphone Headset Invisible Stereo Auriculares V4.1 S530,Generic,61,Rp8.980.000,Rp449,0.5,"





",3.5 out of 5,78,Rp700.440.000,2018-7-7
Sony MDR ZX110AP   Extra Bass Headphones   White,Sony,80,Rp23.000,Rp1.999,13%,With its twin 1.18 in drivers and Bass Booster these headphones deliver big sound without breaking a sweat. Plus the in line remote with mic lets you take control of your Smartphone’s music and calls. ,4.2 out of 5,76,Rp1.748.000,2019-12-22
"LG 32LJ570U   32"" Smart LED TV   Inbuilt Wi Fi   Black",LG,49,Rp319.950,Rp26.995,0.16,,4.5 out of 5,76,Rp24.316.200,2019-5-25
"LG 32LJ570U   32"" Smart LED TV   Inbuilt Wi Fi   Black",LG,52,Rp319.950,Rp26.995,0.16,,4.5 out of 5,76,Rp24.316.200,2018-11-11
Home Design TV Wall Bracket 14'' 55''   Movable Full Motion Wall mount,Home Design,13,Rp20.000,Rp1.419,0.29,Mount your,4 out of 5,75,Rp1.500.000,2019-3-19
Home Design TV Wall Bracket 14'' 55''   Movable Full Motion Wall mount,Home Design,16,Rp20.000,Rp1.419,0.29,Mount your,4 out of 5,75,Rp1.500.000,2018-3-30
Generic Digital TV Aerial With 10mtrs Cable Plus Free Cable Clips,Generic,34,Rp14.000,Rp798,43%, This antenna is ,4.1 out of 5,74,Rp1.036.000,2019-1-15
"Generic TV Wall Bracket / MOUNT 14""   42"" TV   Black",Generic,26,Rp8.990.000,Rp378,0.58,"Secure your precious TV. It's specially designed to ensure that you can 
mount your TV easily and it won't shake whilst you're watching it. Order
 for your product online and have it delivered straight to your 
doorstep. ",4.1 out of 5,74,Rp665.260.000,2019-10-19
"Generic TV Wall Bracket / MOUNT 14""   42"" TV   Black",Generic,42,Rp8.990.000,Rp378,0.58,"Secure your precious TV. It's specially designed to ensure that you can 
mount your TV easily and it won't shake whilst you're watching it. Order
 for your product online and have it delivered straight to your 
doorstep. ",4.1 out of 5,74,Rp665.260.000,2018-4-6
"Sony BRAVIA   40W650D   40""   Full HD  Digital Smart TV   Black",Sony,87,Rp398.990,Rp35.389,0.11,"Sony BRAVIA 40W650D Full HD LED Digital TV comes with a cleaner more refined picture Enjoy outstanding 
clarity sharpness and picture quality for everything you watch. The 
combination of noise reduction technologies sharpen and remove noise 
from every scene so the picture gleams with clear detail. Order for this Sony BRAVIA 40W650D Full HD LED Digital TV online at Jumia Kenya and have it delivered right at your doorstep.",4.4 out of 5,68,Rp27.131.320,2018-7-23
"Sony BRAVIA   40W650D   40""   Full HD  Digital Smart TV   Black",Sony,86,Rp398.990,Rp35.389,0.11,"Sony BRAVIA 40W650D Full HD LED Digital TV comes with a cleaner more refined picture Enjoy outstanding 
clarity sharpness and picture quality for everything you watch. The 
combination of noise reduction technologies sharpen and remove noise 
from every scene so the picture gleams with clear detail. Order for this Sony BRAVIA 40W650D Full HD LED Digital TV online at Jumia Kenya and have it delivered right at your doorstep.",4.4 out of 5,68,Rp27.131.320,2019-5-14
Generic High Quality 6 Way Extension+ Free 2 Way Extension,Generic,82,Rp10.000,Rp594,41%,The,4.1 out of 5,67,Rp670.000,2019-11-21
"UKA 55"" UHD Smart TV   Black",UKA,53,Rp560.000,Rp39.899,29%,After Sales  Information,4.3 out of 5,66,Rp36.960.000,2018-10-25
Power King 4 Way Extension Cable   White,Power King,20,Rp6.000.000,Rp380,37%,Make your order for a 4 way extension cable Power King today.,4.4 out of 5,63,Rp378.000.000,2019-8-10
"Bruhm BTF   32HDTSP 32"" LED SMART & Digital TV   Black",Bruhm,13,Rp209.900,Rp169,19%,,4.1 out of 5,62,Rp13.013.800,2019-10-11
Sony Bravia TV Remote   Black,Sony,68,Rp9.000.000,Rp600,0.33,The remote is to be used for SONY FLAT TV RM YD for KDL 32R420A KDL 40R470A KDL 46R470A.remote does not come with batteries.Very durable.,4 out of 5,62,Rp558.000.000,2018-8-12
Sony Bravia TV Remote   Black,Sony,41,Rp9.000.000,Rp600,0.33,The remote is to be used for SONY FLAT TV RM YD for KDL 32R420A KDL 40R470A KDL 46R470A.remote does not come with batteries.Very durable.,4 out of 5,62,Rp558.000.000,2019-5-26
Generic Mini LED Bluetooth Wireless Speaker  TF Portable For Cell Phone Laptop PC   Pink,Generic,59,,Rp399,,,3.2 out of 5,61,Rp0,2019-6-1
Generic Mini LED Bluetooth Wireless Speaker  TF Portable For Cell Phone Laptop PC   Pink,Generic,65,,Rp399,,,3.2 out of 5,61,Rp0,2019-5-12
Annov 5M HDMI Flat Cable HD HDMI Cable High Speed With Ethernet v1.4 FULL HD 4K 3D.,Annov,24,Rp7.990.000,Rp699,13%,KEY FEATURES,4.4 out of 5,59,Rp471.410.000,2019-1-26
Jbl Tune 110(T110) In Ear Earphones   Blue,Jbl,59,Rp19.950,Rp1.495,0.25,,4.8 out of 5,59,Rp1.177.050,2018-11-18
Jbl Tune 110(T110) In Ear Earphones   Blue,Jbl,20,Rp19.950,Rp1.495,0.25,,4.8 out of 5,59,Rp1.177.050,2018-10-8
"Generic 14   42"" Full Motion Swivel Wall Mount TV Bracket",Generic,45,Rp20.000,Rp127,0.36,"The 14   42"" Full Motion Swivel Wall Mount TV Bracket can hold up to 35Kgs. Use this Bracket to safely mount your LED TV and get 60 degrees left and right movement and 15 degrees up and down movement. Order your 14   42"" Full Motion Swivel Wall Mount TV Bracket from Jumia.co.ke today and have it delivered to your doorstep.",4.2 out of 5,57,Rp1.140.000,2019-5-27
"Generic 14   42"" Full Motion Swivel Wall Mount TV Bracket",Generic,70,Rp20.000,Rp127,0.36,"The 14   42"" Full Motion Swivel Wall Mount TV Bracket can hold up to 35Kgs. Use this Bracket to safely mount your LED TV and get 60 degrees left and right movement and 15 degrees up and down movement. Order your 14   42"" Full Motion Swivel Wall Mount TV Bracket from Jumia.co.ke today and have it delivered to your doorstep.",4.2 out of 5,57,Rp1.140.000,2019-1-25
"Vitron 24"" HTC2446   Digital LED TV   Black",Vitron,36,Rp119.990,Rp7.999,0.33,,4.1 out of 5,56,Rp6.719.440,2019-10-13
Vision Plus 2.1CH Soundbar with Bluetooth 90W RMS   Black.,Vision Plus,34,Rp99.990,Rp7.699,0.23,,4.4 out of 5,56,Rp5.599.440,2019-10-17
Power King 6 way extension cable.,Power King,94,Rp10.000,Rp528,0.47,,4.2 out of 5,56,Rp560.000,2018-6-7
"Vitron 24"" HTC2446   Digital LED TV   Black",Vitron,47,Rp119.990,Rp7.999,0.33,,4.1 out of 5,56,Rp6.719.440,2019-4-10
Vision Plus 2.1CH Soundbar with Bluetooth 90W RMS   Black.,Vision Plus,17,Rp99.990,Rp7.699,0.23,,4.4 out of 5,56,Rp5.599.440,2019-5-19
Power King 6 way extension cable.,Power King,92,Rp10.000,Rp528,0.47,,4.2 out of 5,56,Rp560.000,2018-6-7
"Syinix 24T530   24""   HD LED Digital TV",Syinix,100,Rp200.000,Rp9.175,0.54,Get an incredible Syinix Digital TV available on Jumia Kenya! Syinix is a Japan based professional home appliance brand. Since its foundation it adheres to its ultimate goal of letting people’s life smarter and more easily. With the Japanese design style and always making it better Syinix continuously pursues innovative functional design and a more exquisite detail of its products. Its finish design is embedded with understated and simple lines thus it can help its customers restore a cozy family atmosphere. Order for this Syinix HD  Digital TV online at Jumia Kenya and have it delivered right at your doorstep.,4.3 out of 5,55,Rp11.000.000,2018-4-24
"Syinix 24T530   24""   HD LED Digital TV",Syinix,61,Rp200.000,Rp9.175,0.54,Get an incredible Syinix Digital TV available on Jumia Kenya! Syinix is a Japan based professional home appliance brand. Since its foundation it adheres to its ultimate goal of letting people’s life smarter and more easily. With the Japanese design style and always making it better Syinix continuously pursues innovative functional design and a more exquisite detail of its products. Its finish design is embedded with understated and simple lines thus it can help its customers restore a cozy family atmosphere. Order for this Syinix HD  Digital TV online at Jumia Kenya and have it delivered right at your doorstep.,4.3 out of 5,55,Rp11.000.000,2019-9-4
Generic GoTV Remote Control   Black,Generic,55,Rp8.000.000,Rp499,0.38,This remote control is compatible with GO TV  decoders and DSTV decoders. It operates all functions and commands.,4.3 out of 5,53,Rp424.000.000,2018-1-20
Generic GoTV Remote Control   Black,Generic,41,Rp8.000.000,Rp499,0.38,This remote control is compatible with GO TV  decoders and DSTV decoders. It operates all functions and commands.,4.3 out of 5,53,Rp424.000.000,2018-11-28
"Vision Plus VP8850K 50"" Frameless 4K UHD Smart Android TV   Black + FREE Wall Mount ",Vision Plus,12,Rp389.990,Rp34.999,0.1,"

",4.1 out of 5,52,Rp20.279.480,2019-10-16
MK Electronics TV Guard + Fridge Guard + 2 Way Extension Cable   White,MK Electronics,35,Rp22.000,Rp16,0.27,Buy a TV Guard Voltage Protector plus fridge guard with free 2 way extension cable from Jumia online store and protect your LED/LCD,4.1 out of 5,52,Rp1.144.000,2018-1-27
